index,country,alignment,iso
0,afghanistan,95.45454545454545,AFG
1,albania,100.0,ALB
2,arab_emirates,100.0,ARE
3,argentina,77.27272727272727,ARG
4,australia,81.81818181818183,AUS
5,bangladesh,63.63636363636363,BGD
6,barbados,90.9090909090909,BRB
7,bruneibuthan,100.0,BRN
8,canada,90.9090909090909,CAN
9,cayman_islands,95.45454545454545,CYM
10,chile,90.9090909090909,CHL
11,colombia,90.9090909090909,COL
12,costa_rica,77.27272727272727,CRI
13,denmark,86.36363636363636,DNK
14,egypt,100.0,EGY
15,el_salvador,63.63636363636363,SLV
16,eritrea,95.45454545454545,ERI
17,eswatini,100.0,SWZ
18,ethiopia,95.45454545454545,ETH
19,fiji,100.0,FJI
20,finland,86.36363636363636,FIN
21,france,59.09090909090909,FRA
22,germany,90.9090909090909,DEU
23,ghana,95.45454545454545,GHA
24,india,86.36363636363636,IND
25,iran,90.9090909090909,IRN
26,ireland,90.9090909090909,IRL
27,kenya,86.36363636363636,KEN
28,kuwait,100.0,KWT
29,lebanon,100.0,LBN
30,liberia,100.0,LBR
31,libya,100.0,LBY
32,malawi,100.0,MWI
33,malaysia,90.9090909090909,MYS
34,maldives,100.0,MDV
35,malta,90.9090909090909,MLT
36,mauritius,95.45454545454545,MUS
37,micronesia,100.0,FSM
38,mongolia,100.0,MNG
39,myanmar,86.36363636363636,MMR
40,namibia,81.81818181818183,NAM
41,nauru,95.45454545454545,NRU
42,nepal,100.0,NPL
43,netherlands,86.36363636363636,NLD
44,nigeria,100.0,NGA
45,norway,90.9090909090909,NOR
46,oman,77.27272727272727,OMN
47,pakistan,86.36363636363636,PAK
48,palestine,100.0,PSE
49,papua_new_guinea,90.9090909090909,PNG
50,paraguay,95.45454545454545,PRY
51,peru,95.45454545454545,PER
52,qatar,100.0,QAT
53,rep_of_macedonia,45.45454545454545,MKD
54,rwanda,100.0,RWA
55,samoa,90.9090909090909,WSM
56,saudi arabia,100.0,SAU
57,sierra_leone,95.45454545454545,SLE
58,solomon_islands,95.45454545454545,SLB
59,somalia,81.81818181818183,SOM
60,south africa,100.0,ZAF
61,spain,86.36363636363636,ESP
62,sri lanka,100.0,LKA
63,sudan,95.45454545454545,SDN
64,sweden,90.9090909090909,SWE
65,switzerland,100.0,CHE
66,syria,81.81818181818183,SYR
67,tajikistan,86.36363636363636,TJK
68,tanzania,100.0,TZA
69,thailand,90.9090909090909,THA
70,timor,90.9090909090909,TLS
71,tonga,100.0,TON
72,tunisia,90.9090909090909,TUN
73,turkmenistan,100.0,TKM
74,tuvalu,100.0,TUV
75,united_kingdom,90.9090909090909,GBR
76,united_states,90.9090909090909,USA
77,uruguay,72.72727272727273,URY
78,vietnam,100.0,VNM
79,yemen,100.0,YEM
80,zambia,100.0,ZMB
