question,answer,country_name
One Health,1,Afghanistan
One Health,1,Albania
One Health,1,United Arab Emirates
One Health,1,Argentina
One Health,1,Australia
One Health,1,Bangladesh
One Health,1,Barbados
One Health,1,Brunei
One Health,1,Canada
One Health,1,Cayman Islands
One Health,1,Chile
One Health,1,Colombia
One Health,1,Costa Rica
One Health,1,Denmark
One Health,1,Egypt
One Health,1,El Salvador
One Health,1,Eritrea
One Health,1,Eswatini
One Health,1,Ethiopia
One Health,1,Fiji
One Health,1,Finland
One Health,1,France
One Health,1,Germany
One Health,1,Ghana
One Health,1,India
One Health,1,Iran
One Health,1,Ireland
One Health,1,Kenya
One Health,1,Kuwait
One Health,1,Lebanon
One Health,1,Liberia
One Health,1,Libya
One Health,1,Malawi
One Health,1,Malaysia
One Health,1,Maldives
One Health,1,Malta
One Health,1,Mauritius
One Health,1,Micronesia
One Health,1,Mongolia
One Health,1,Myanmar
One Health,1,Namibia
One Health,1,Nauru
One Health,1,Nepal
One Health,1,Netherlands
One Health,1,Nigeria
One Health,1,Norway
One Health,1,Oman
One Health,1,Pakistan
One Health,1,Palestine
One Health,1,Papua New Guinea
One Health,1,Paraguay
One Health,1,Peru
One Health,1,Qatar
One Health,1,North Macedonia
One Health,1,Rwanda
One Health,1,Samoa
One Health,1,Saudi Arabia
One Health,1,Sierra Leone
One Health,1,Solomon Islands
One Health,1,Somalia
One Health,1,South Africa
One Health,1,Spain
One Health,1,Sri Lanka
One Health,1,Sudan
One Health,1,Sweden
One Health,1,Switzerland
One Health,1,Syria
One Health,1,Tajikistan
One Health,1,Tanzania
One Health,1,Thailand
One Health,1,Timor-Leste
One Health,1,Tonga
One Health,1,Tunisia
One Health,1,Turkmenistan
One Health,1,Tuvalu
One Health,1,United Kingdom
One Health,1,United States
One Health,1,Uruguay
One Health,1,Vietnam
One Health,1,Yemen
One Health,1,Zambia
Human Health,1,Afghanistan
Human Health,1,Albania
Human Health,1,United Arab Emirates
Human Health,1,Argentina
Human Health,1,Australia
Human Health,1,Bangladesh
Human Health,1,Barbados
Human Health,1,Brunei
Human Health,1,Canada
Human Health,1,Cayman Islands
Human Health,1,Chile
Human Health,1,Colombia
Human Health,1,Costa Rica
Human Health,1,Denmark
Human Health,1,Egypt
Human Health,1,El Salvador
Human Health,1,Eritrea
Human Health,1,Eswatini
Human Health,1,Ethiopia
Human Health,1,Fiji
Human Health,1,Finland
Human Health,1,France
Human Health,1,Germany
Human Health,1,Ghana
Human Health,1,India
Human Health,1,Iran
Human Health,1,Ireland
Human Health,1,Kenya
Human Health,1,Kuwait
Human Health,1,Lebanon
Human Health,1,Liberia
Human Health,1,Libya
Human Health,1,Malawi
Human Health,1,Malaysia
Human Health,1,Maldives
Human Health,1,Malta
Human Health,1,Mauritius
Human Health,1,Micronesia
Human Health,1,Mongolia
Human Health,1,Myanmar
Human Health,1,Namibia
Human Health,1,Nauru
Human Health,1,Nepal
Human Health,1,Netherlands
Human Health,1,Nigeria
Human Health,1,Norway
Human Health,1,Oman
Human Health,1,Pakistan
Human Health,1,Palestine
Human Health,1,Papua New Guinea
Human Health,1,Paraguay
Human Health,1,Peru
Human Health,1,Qatar
Human Health,1,North Macedonia
Human Health,1,Rwanda
Human Health,1,Samoa
Human Health,1,Saudi Arabia
Human Health,1,Sierra Leone
Human Health,1,Solomon Islands
Human Health,1,Somalia
Human Health,1,South Africa
Human Health,1,Spain
Human Health,1,Sri Lanka
Human Health,1,Sudan
Human Health,1,Sweden
Human Health,1,Switzerland
Human Health,1,Syria
Human Health,1,Tajikistan
Human Health,1,Tanzania
Human Health,1,Thailand
Human Health,1,Timor-Leste
Human Health,1,Tonga
Human Health,1,Tunisia
Human Health,1,Turkmenistan
Human Health,1,Tuvalu
Human Health,1,United Kingdom
Human Health,1,United States
Human Health,1,Uruguay
Human Health,1,Vietnam
Human Health,1,Yemen
Human Health,1,Zambia
Animal Health,1,Afghanistan
Animal Health,1,Albania
Animal Health,1,United Arab Emirates
Animal Health,1,Argentina
Animal Health,1,Australia
Animal Health,1,Bangladesh
Animal Health,1,Barbados
Animal Health,1,Brunei
Animal Health,1,Canada
Animal Health,1,Cayman Islands
Animal Health,1,Chile
Animal Health,1,Colombia
Animal Health,1,Costa Rica
Animal Health,1,Denmark
Animal Health,1,Egypt
Animal Health,1,El Salvador
Animal Health,1,Eritrea
Animal Health,1,Eswatini
Animal Health,1,Ethiopia
Animal Health,1,Fiji
Animal Health,1,Finland
Animal Health,0,France
Animal Health,1,Germany
Animal Health,1,Ghana
Animal Health,1,India
Animal Health,1,Iran
Animal Health,1,Ireland
Animal Health,1,Kenya
Animal Health,1,Kuwait
Animal Health,1,Lebanon
Animal Health,1,Liberia
Animal Health,1,Libya
Animal Health,1,Malawi
Animal Health,1,Malaysia
Animal Health,1,Maldives
Animal Health,1,Malta
Animal Health,1,Mauritius
Animal Health,1,Micronesia
Animal Health,1,Mongolia
Animal Health,1,Myanmar
Animal Health,1,Namibia
Animal Health,1,Nauru
Animal Health,1,Nepal
Animal Health,1,Netherlands
Animal Health,1,Nigeria
Animal Health,1,Norway
Animal Health,1,Oman
Animal Health,1,Pakistan
Animal Health,1,Palestine
Animal Health,1,Papua New Guinea
Animal Health,1,Paraguay
Animal Health,1,Peru
Animal Health,1,Qatar
Animal Health,1,North Macedonia
Animal Health,1,Rwanda
Animal Health,1,Samoa
Animal Health,1,Saudi Arabia
Animal Health,1,Sierra Leone
Animal Health,1,Solomon Islands
Animal Health,1,Somalia
Animal Health,1,South Africa
Animal Health,1,Spain
Animal Health,1,Sri Lanka
Animal Health,1,Sudan
Animal Health,1,Sweden
Animal Health,1,Switzerland
Animal Health,1,Syria
Animal Health,1,Tajikistan
Animal Health,1,Tanzania
Animal Health,1,Thailand
Animal Health,1,Timor-Leste
Animal Health,1,Tonga
Animal Health,1,Tunisia
Animal Health,1,Turkmenistan
Animal Health,1,Tuvalu
Animal Health,1,United Kingdom
Animal Health,1,United States
Animal Health,1,Uruguay
Animal Health,1,Vietnam
Animal Health,1,Yemen
Animal Health,1,Zambia
Environment,1,Afghanistan
Environment,1,Albania
Environment,1,United Arab Emirates
Environment,0,Argentina
Environment,1,Australia
Environment,1,Bangladesh
Environment,1,Barbados
Environment,1,Brunei
Environment,1,Canada
Environment,1,Cayman Islands
Environment,1,Chile
Environment,1,Colombia
Environment,1,Costa Rica
Environment,1,Denmark
Environment,1,Egypt
Environment,0,El Salvador
Environment,1,Eritrea
Environment,1,Eswatini
Environment,1,Ethiopia
Environment,1,Fiji
Environment,1,Finland
Environment,1,France
Environment,1,Germany
Environment,1,Ghana
Environment,1,India
Environment,1,Iran
Environment,1,Ireland
Environment,1,Kenya
Environment,1,Kuwait
Environment,1,Lebanon
Environment,1,Liberia
Environment,1,Libya
Environment,1,Malawi
Environment,1,Malaysia
Environment,1,Maldives
Environment,1,Malta
Environment,1,Mauritius
Environment,1,Micronesia
Environment,1,Mongolia
Environment,1,Myanmar
Environment,1,Namibia
Environment,1,Nauru
Environment,1,Nepal
Environment,1,Netherlands
Environment,1,Nigeria
Environment,1,Norway
Environment,0,Oman
Environment,1,Pakistan
Environment,1,Palestine
Environment,1,Papua New Guinea
Environment,1,Paraguay
Environment,1,Peru
Environment,1,Qatar
Environment,0,North Macedonia
Environment,1,Rwanda
Environment,1,Samoa
Environment,1,Saudi Arabia
Environment,1,Sierra Leone
Environment,1,Solomon Islands
Environment,0,Somalia
Environment,1,South Africa
Environment,1,Spain
Environment,1,Sri Lanka
Environment,1,Sudan
Environment,1,Sweden
Environment,1,Switzerland
Environment,1,Syria
Environment,1,Tajikistan
Environment,1,Tanzania
Environment,1,Thailand
Environment,1,Timor-Leste
Environment,1,Tonga
Environment,1,Tunisia
Environment,1,Turkmenistan
Environment,1,Tuvalu
Environment,1,United Kingdom
Environment,1,United States
Environment,0,Uruguay
Environment,1,Vietnam
Environment,1,Yemen
Environment,1,Zambia
Food Security,1,Afghanistan
Food Security,1,Albania
Food Security,1,United Arab Emirates
Food Security,1,Argentina
Food Security,1,Australia
Food Security,1,Bangladesh
Food Security,1,Barbados
Food Security,1,Brunei
Food Security,1,Canada
Food Security,1,Cayman Islands
Food Security,1,Chile
Food Security,1,Colombia
Food Security,1,Costa Rica
Food Security,1,Denmark
Food Security,1,Egypt
Food Security,1,El Salvador
Food Security,1,Eritrea
Food Security,1,Eswatini
Food Security,1,Ethiopia
Food Security,1,Fiji
Food Security,1,Finland
Food Security,0,France
Food Security,1,Germany
Food Security,1,Ghana
Food Security,1,India
Food Security,1,Iran
Food Security,1,Ireland
Food Security,1,Kenya
Food Security,1,Kuwait
Food Security,1,Lebanon
Food Security,1,Liberia
Food Security,1,Libya
Food Security,1,Malawi
Food Security,1,Malaysia
Food Security,1,Maldives
Food Security,1,Malta
Food Security,1,Mauritius
Food Security,1,Micronesia
Food Security,1,Mongolia
Food Security,1,Myanmar
Food Security,1,Namibia
Food Security,1,Nauru
Food Security,1,Nepal
Food Security,1,Netherlands
Food Security,1,Nigeria
Food Security,1,Norway
Food Security,1,Oman
Food Security,1,Pakistan
Food Security,1,Palestine
Food Security,1,Papua New Guinea
Food Security,1,Paraguay
Food Security,1,Peru
Food Security,1,Qatar
Food Security,1,North Macedonia
Food Security,1,Rwanda
Food Security,1,Samoa
Food Security,1,Saudi Arabia
Food Security,1,Sierra Leone
Food Security,1,Solomon Islands
Food Security,1,Somalia
Food Security,1,South Africa
Food Security,0,Spain
