Country,metric,score
Afghanistan,Accuracy(Full),0.955
Argentina,Accuracy(Full),0.909
Australia,Accuracy(Full),0.909
Barbados,Accuracy(Full),0.955
Canada,Accuracy(Full),0.864
Colombia,Accuracy(Full),0.818
Costa Rica,Accuracy(Full),0.955
El Salvador,Accuracy(Full),0.955
Finland,Accuracy(Full),0.955
India,Accuracy(Full),1.0
Libya,Accuracy(Full),0.955
Malta,Accuracy(Full),0.909
Myanmar,Accuracy(Full),0.955
Oman,Accuracy(Full),0.909
Paraguay,Accuracy(Full),0.727
Peru,Accuracy(Full),0.909
Spain,Accuracy(Full),0.818
Sweden,Accuracy(Full),0.909
United States,Accuracy(Full),0.909
Afghanistan,Precision(Full),1.0
Argentina,Precision(Full),0.941
Australia,Precision(Full),1.0
Barbados,Precision(Full),0.95
Canada,Precision(Full),0.9
Colombia,Precision(Full),0.8
Costa Rica,Precision(Full),0.941
El Salvador,Precision(Full),1.0
Finland,Precision(Full),0.947
India,Precision(Full),1.0
Libya,Precision(Full),0.955
Malta,Precision(Full),0.95
Myanmar,Precision(Full),1.0
Oman,Precision(Full),0.882
Paraguay,Precision(Full),0.714
Peru,Precision(Full),0.905
Spain,Precision(Full),0.842
Sweden,Precision(Full),0.9
United States,Precision(Full),0.95
Afghanistan,Recall(Full),0.955
Argentina,Recall(Full),0.941
Australia,Recall(Full),0.9
Barbados,Recall(Full),1.0
Canada,Recall(Full),0.947
Colombia,Recall(Full),1.0
Costa Rica,Recall(Full),1.0
El Salvador,Recall(Full),0.933
Finland,Recall(Full),1.0
India,Recall(Full),1.0
Libya,Recall(Full),1.0
Malta,Recall(Full),0.95
Myanmar,Recall(Full),0.95
Oman,Recall(Full),1.0
Paraguay,Recall(Full),1.0
Peru,Recall(Full),1.0
Spain,Recall(Full),0.941
Sweden,Recall(Full),1.0
United States,Recall(Full),0.95
Afghanistan,F1(Full),0.977
Argentina,F1(Full),0.941
Australia,F1(Full),0.947
Barbados,F1(Full),0.974
Canada,F1(Full),0.923
Colombia,F1(Full),0.889
Costa Rica,F1(Full),0.97
El Salvador,F1(Full),0.966
Finland,F1(Full),0.973
India,F1(Full),1.0
Libya,F1(Full),0.977
Malta,F1(Full),0.95
Myanmar,F1(Full),0.974
Oman,F1(Full),0.938
Paraguay,F1(Full),0.833
Peru,F1(Full),0.95
Spain,F1(Full),0.889
Sweden,F1(Full),0.947
United States,F1(Full),0.95
Afghanistan,Accuracy(Chunking),0.955
