question_name,answer
One Health,100.0
Human Health,100.0
Animal Health,98.76543209876543
Environment,92.5925925925926
Food Security,97.53086419753086
Progress Reporting,96.29629629629629
Time-bound Targets,88.88888888888889
Quantitative Targets,59.25925925925925
Budget Allocation,58.0246913580247
Future Budget Assessment,54.32098765432099
Muli-sectoral Committee,98.76543209876543
New Laws/Regulations,97.53086419753086
Professional Training,100.0
Public Awareness,100.0
International Collaboration,100.0
Surveillance,100.0
Emergent Resistance Detection,93.82716049382715
IPC,100.0
OIE/FAO Standards,95.06172839506173
Antibiotic Prescription and Dispensation,97.53086419753086
Rational Antibiotic Use Laws,97.53086419753086
Research and Development,90.12345679012346
